date,player,sleep_duration
2021-12-03,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-12-04,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-12-05,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-12-06,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-12-07,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-12-08,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-12-09,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-12-10,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,7.5
2021-12-11,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-12-12,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-12-13,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-12-14,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-12-15,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,6.0
2021-12-16,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-12-17,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-12-18,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,6.0
2021-12-19,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-12-20,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-12-21,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-12-22,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-12-23,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-12-24,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-12-25,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-12-26,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-12-27,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-12-28,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2021-12-29,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,9.0
2021-12-30,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.0
2021-12-31,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,8.5
2020-03-20,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-03-21,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-03-22,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-03-23,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.5
2020-03-24,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.5
2020-03-25,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-03-26,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.5
2020-03-27,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-03-28,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-03-29,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.5
2020-03-30,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-03-31,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-04-01,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-04-02,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-04-03,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.5
2020-04-05,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-04-06,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,9.0
2020-04-07,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-04-08,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-04-09,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-04-10,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-04-11,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-04-12,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-04-14,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,6.5
2020-04-15,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-04-16,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-04-17,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-04-18,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-04-19,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,6.5
2020-04-20,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,6.5
2020-04-21,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-04-22,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-04-23,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-04-24,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-04-25,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-04-26,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.5
2020-04-27,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.5
2020-04-28,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-04-29,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-04-30,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-05-01,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-05-02,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.5
2020-05-03,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-05-04,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-05-05,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-05-06,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-05-07,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-05-08,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-05-09,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-05-10,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-05-11,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-05-12,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-05-13,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-05-14,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-05-15,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-05-16,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.5
2020-05-17,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-05-18,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-05-19,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-05-20,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.5
2020-05-21,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.5
2020-05-22,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-05-23,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-05-24,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-05-25,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,5.5
2020-05-26,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-05-27,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-05-28,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-05-29,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-05-30,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-05-31,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,5.0
2020-06-01,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.5
2020-06-02,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-06-03,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-06-04,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-06-05,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-06-06,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-06-07,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-06-08,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-06-09,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.5
2020-06-10,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-06-11,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.0
2020-06-12,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-06-13,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-06-14,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,8.5
2020-06-15,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-06-16,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-06-17,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-06-18,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-06-19,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,6.5
2020-06-20,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-06-21,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
2020-06-22,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,6.0
2020-06-23,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,9.0
2020-06-24,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.5
2020-06-25,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,6.0
2020-06-26,TeamA-2d44f941-2f24-4fc2-afa8-611a091f2e93,7.0
